LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LOCKDOWN;COVID
11;3;3701658.0;2021;11;18;2;3;0;3;2;0;1;0;1;0;0;1;0;2
11;7;7501134.0;2021;12;19;7;3;6;2;2;0;1;1;0;0;0;1;1;2
11;4;4100101.0;2021;12;17;4;3;5;2;2;0;1;0;0;0;0;0;1;2
11;4;4501041.0;2021;12;15;7;3;5;2;1;0;1;0;1;0;0;1;1;2
11;11;11501339.0;2021;12;9;5;3;3;6;0;0;1;0;0;0;1;2;1;2
11;1;1100308.0;2021;12;22;5;3;1;5;2;0;1;0;0;0;0;1;1;2
11;10;10200524.0;2021;12;5;1;3;1;5;2;0;1;0;0;0;0;2;1;2
11;7;7200409.0;2021;12;20;7;2;5;7;2;0;1;0;0;0;0;2;1;2
11;1;1300733.0;2021;11;22;3;3;2;6;2;0;1;0;0;0;0;1;0;2
11;2;2200208.0;2021;12;7;2;3;6;4;2;0;1;1;0;0;0;0;1;2
11;11;11100204.0;2021;12;19;3;3;2;2;2;0;1;0;0;0;0;1;1;2
11;7;7100205.0;2021;12;13;7;3;3;6;0;0;1;0;1;0;0;1;1;2
11;7;7200307.0;2021;12;10;3;3;6;7;0;0;0;1;0;0;1;0;1;2
11;7;7100101.0;2021;12;19;4;3;6;2;2;0;1;1;0;0;0;0;1;2
11;1;1100205.0;2021;12;19;4;3;5;7;2;0;1;0;0;0;0;0;1;2
11;7;7300516.0;2021;12;18;5;3;6;7;2;0;0;1;0;0;1;0;1;2
11;6;6400841.0;2021;12;7;5;3;6;2;2;0;1;1;0;0;0;0;1;2
11;6;6400839.0;2021;11;15;2;3;5;3;1;0;1;0;0;0;1;1;0;2
11;4;4500939.0;2021;12;18;4;3;5;2;1;1;1;0;0;0;0;0;1;2
11;9;9100306.0;2021;12;21;4;2;8;1;2;0;1;0;0;0;0;0;1;2
11;7;7300619.0;2021;12;17;2;3;5;2;2;0;1;0;1;0;0;1;1;2
11;4;4501042.0;2021;12;17;7;3;6;4;2;0;0;1;0;0;1;0;1;2
11;1;1100102.0;2021;11;18;3;3;0;6;2;0;1;0;1;0;0;1;0;2
11;9;9200715.0;2021;12;11;2;2;6;2;0;0;1;1;0;0;0;0;1;2
11;1;1100102.0;2021;12;9;2;3;0;5;0;1;1;0;0;0;0;1;1;2
11;3;3500934.0;2021;12;18;2;3;6;4;2;0;1;1;0;0;0;1;1;2
11;8;8100105.0;2021;12;19;4;3;2;6;2;0;1;0;0;0;0;0;1;2
11;11;11400929.0;2021;12;13;5;3;5;3;0;0;1;0;0;0;0;1;1;2
11;8;8300934.0;2021;12;18;5;3;5;2;2;0;1;0;0;0;1;1;1;2
11;10;10400835.0;2021;12;16;2;2;6;4;2;0;1;1;0;0;0;1;1;2
11;12;12601134.0;2021;12;15;2;3;0;7;1;0;1;0;0;0;1;0;1;2
11;12;12200308.0;2021;12;14;5;3;5;3;0;0;1;0;0;0;0;0;1;2
11;2;2300417.0;2021;12;13;3;3;3;6;0;0;1;0;0;0;1;0;1;2
11;5;5200629.0;2021;12;10;5;3;0;3;0;0;1;0;1;0;0;0;1;2
11;5;5200629.0;2021;12;11;6;3;5;2;0;0;1;0;0;0;0;0;1;2
11;1;1200522.0;2021;12;8;6;3;2;6;0;0;1;0;0;0;0;2;1;2
11;4;4501153.0;2021;12;17;2;3;6;4;2;0;1;1;0;0;0;0;1;2
11;6;6300524.0;2021;12;9;3;2;1;5;0;0;1;0;0;0;0;0;1;2
11;5;5100209.0;2021;12;18;4;3;5;2;2;1;1;0;0;0;0;0;1;2
11;12;12500930.0;2021;12;21;2;3;5;3;2;0;1;0;0;0;0;1;1;2
11;1;1100310.0;2021;12;12;6;3;1;5;0;1;1;0;0;0;0;0;1;2
11;3;3601451.0;2021;12;17;5;2;5;3;2;1;1;0;0;0;0;0;1;2
11;7;7300516.0;2021;12;18;3;3;5;2;2;1;1;0;0;0;0;0;1;2
11;6;6200311.0;2021;12;7;4;3;2;6;2;0;1;0;0;0;0;1;1;2
11;8;8200832.0;2021;12;18;6;3;5;2;2;0;1;0;1;0;0;0;1;2
11;8;8100102.0;2021;12;17;7;3;2;1;2;0;1;0;0;0;0;2;1;2
11;5;5100316.0;2021;12;16;3;3;0;1;2;1;0;0;0;0;0;0;1;2
11;9;9501940.0;2021;12;8;4;3;1;1;1;0;1;0;0;0;0;1;1;2
11;9;9300920.0;2021;12;17;3;3;6;4;2;0;1;1;0;0;0;0;1;2
11;6;6100102.0;2021;12;14;6;3;2;6;0;0;1;0;0;0;0;0;1;2
11;3;3501038.0;2021;12;14;5;2;6;4;0;1;0;1;0;0;0;0;1;2
