LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND
11;3;3701658;2021;11;18;2;3;0;3;2;0;1;0;1;0;0;1
11;7;7501134;2021;12;19;7;3;6;2;2;0;1;1;0;0;0;1
11;4;4100101;2021;12;17;4;3;5;2;2;0;1;0;0;0;0;0
11;4;4501041;2021;12;15;7;3;5;2;1;0;1;0;1;0;0;1
11;11;11501339;2021;12;9;5;3;3;6;0;0;1;0;0;0;1;2
11;1;1100308;2021;12;22;5;3;1;5;2;0;1;0;0;0;0;1
11;10;10200524;2021;12;5;1;3;1;5;2;0;1;0;0;0;0;2
11;7;7200409;2021;12;20;7;2;5;7;2;0;1;0;0;0;0;2
11;1;1300733;2021;11;22;3;3;2;6;2;0;1;0;0;0;0;1
11;2;2200208;2021;12;7;2;3;6;4;2;0;1;1;0;0;0;0
11;11;11100204;2021;12;19;3;3;2;2;2;0;1;0;0;0;0;1
11;7;7100205;2021;12;13;7;3;3;6;0;0;1;0;1;0;0;1
11;7;7200307;2021;12;10;3;3;6;7;0;0;0;1;0;0;1;0
11;7;7100101;2021;12;19;4;3;6;2;2;0;1;1;0;0;0;0
11;1;1100205;2021;12;19;4;3;5;7;2;0;1;0;0;0;0;0
11;7;7300516;2021;12;18;5;3;6;7;2;0;0;1;0;0;1;0
11;6;6400841;2021;12;7;5;3;6;2;2;0;1;1;0;0;0;0
11;6;6400839;2021;11;15;2;3;5;3;1;0;1;0;0;0;1;1
11;4;4500939;2021;12;18;4;3;5;2;1;1;1;0;0;0;0;0
11;9;9100306;2021;12;21;4;2;8;1;2;0;1;0;0;0;0;0
11;7;7300619;2021;12;17;2;3;5;2;2;0;1;0;1;0;0;1
11;4;4501042;2021;12;17;7;3;6;4;2;0;0;1;0;0;1;0
11;1;1100102;2021;11;18;3;3;0;6;2;0;1;0;1;0;0;1
11;9;9200715;2021;12;11;2;2;6;2;0;0;1;1;0;0;0;0
